name;popularity;danceability;valence;energy
DÁKITI;88;0.731;0.145;0.573
LA NOCHE DE ANOCHE;92;0.856;0.391;0.618
Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara);88;0.812;0.488;0.747
BICHOTA;94;0.863;0.838;0.666
La Nota;92;0.736;0.503;0.632
Chica Ideal;91;0.574;0.707;0.891
Hecha Pa' Mi;84;0.725;0.828;0.756
TE MUDASTE;90;0.811;0.471;0.637
A Un Paso De La Luna;79;0.744;0.954;0.771
YO VISTO ASÍ;87;0.688;0.677;0.881
Blin Blin;76;0.771;0.72;0.735
Problemas;82;0.787;0.262;0.238
Vida de Rico;92;0.824;0.95;0.457
Nathy Peluso: Bzrp Music Sessions, Vol. 36;79;0.65;0.735;0.655
La Luz;87;0.665;0.556;0.697
Mi Niña;91;0.823;0.791;0.821
Despeinada;87;0.734;0.72;0.775
Motorola;75;0.88;0.779;0.741
Demasiadas Mujeres;80;0.667;0.369;0.459
Qué Le Voy a Hacer;75;0.794;0.863;0.664
Del Mar;84;0.759;0.536;0.636
Reloj;77;0.823;0.608;0.537
Polvo;84;0.763;0.582;0.621
Relación - Remix;93;0.793;0.835;0.771
Una Locura;91;0.714;0.906;0.761
Hawái;88;0.783;0.558;0.727
11 RAZONES;63;0.55;0.348;0.874
BEBÉ;80;0.862;0.965;0.72
Fake Capo (Remix);75;0.756;0.752;0.877
De Cora <3;83;0.811;0.571;0.683
La Tirita;69;0.774;0.713;0.586
Yo No Voy;75;0.795;0.687;0.72
Entre tú y yo;72;0.854;0.484;0.669
Tattoo - Remix with Camilo;75;0.721;0.691;0.637
Bonita;80;0.762;0.64;0.645
La Tóxica;92;0.659;0.623;0.701
Tussi;68;0.833;0.698;0.886
La Curiosidad;91;0.845;0.68;0.677
Yo No Sé;69;0.917;0.747;0.54
Como Estrellas;76;0.446;0.763;0.496
Jeans;91;0.807;0.89;0.656
BOOKER T;86;0.883;0.691;0.6
Se Te Nota (with Guaynaa);92;0.905;0.963;0.686
HACIENDO QUE ME AMAS;87;0.584;0.412;0.411
Tu Foto Del DNI;74;0.488;0.52;0.922
Tusa;88;0.803;0.574;0.715
Enchule;71;0.761;0.578;0.668
Blinding Lights;97;0.514;0.334;0.73
cómo te va?;73;0.689;0.556;0.608
Corazón Sin Vida;77;0.48;0.452;0.572
